-0.49129  ,-0.35231  ,-0.1744   ,-0.0045329,0.45768    ,-0.026904  ,-1.5475   ,-1.6161   ,-1.2631    ,-2.1908   ,-1.5741    ,-1.209    ,1.4258     ,1.3844    ,0.69917    ,0.86944    ,1.1184    ,0.58627    ,0.52874    ,1.0298    ,1.0805    ,1.0876    ,1.7381     ,1.1682
-0.61857  ,-0.49795  ,-0.27405  ,-0.14843  ,0.33199    ,-0.089098  ,-1.4891   ,-1.5114   ,-1.1348    ,-2.2108   ,-1.6262    ,-1.3081   ,0.73125    ,0.6547    ,0.2785     ,0.76843    ,0.78453   ,0.17082    ,0.38013    ,0.85191   ,0.95881   ,0.99916   ,1.6321     ,1.0823
-0.62025  ,-0.49796  ,-0.23239  ,-0.18962  ,0.26997    ,-0.12327   ,-1.4146   ,-1.3854   ,-0.89528   ,-2.2788   ,-1.7746    ,-1.5844   ,0.36914    ,0.27657   ,0.07481    ,0.58151    ,0.4093    ,-0.25715   ,0.45691    ,0.89671   ,0.97093   ,0.90263   ,1.5169     ,0.96662
-0.43619  ,-0.26277  ,-0.068282 ,-0.042254 ,0.4029     ,-0.052631  ,-1.3812   ,-1.3131   ,-0.77316   ,-2.3426   ,-1.8621    ,-1.7248   ,0.50563    ,0.38316   ,0.098918   ,0.62826    ,0.40762   ,-0.28633   ,0.57927    ,1.0448    ,1.0611    ,0.93257   ,1.5135     ,0.96018
-0.48166  ,-0.29809  ,-0.050442 ,-0.12997  ,0.35541    ,-0.082261  ,-1.3378   ,-1.2567   ,-0.65254   ,-2.3617   ,-1.9113    ,-1.8491   ,0.41029    ,0.30509   ,0.092273   ,0.5732     ,0.34787   ,-0.39579   ,0.49269    ,0.94814   ,0.96892   ,0.87842   ,1.4259     ,0.83869
-0.4562   ,-0.25558  ,-0.019874 ,-0.12377  ,0.34511    ,-0.084362  ,-1.3702   ,-1.2937   ,-0.76475   ,-2.2358   ,-1.698     ,-1.4222   ,0.25492    ,0.19524   ,0.075059   ,0.50602    ,0.27686   ,-0.44267   ,0.21941    ,0.55283   ,0.56156   ,0.79205   ,1.4302     ,1.2213
-0.24705  ,-0.0090467,0.15037   ,0.0083375 ,0.50433    ,0.033463   ,-1.3119   ,-1.2094   ,-0.60956   ,-2.3204   ,-1.8657    ,-1.745    ,0.072812   ,0.072508  ,0.081644   ,0.30006    ,0.13653   ,-0.57714   ,0.41326    ,0.51342   ,0.22405   ,0.92942   ,1.6672     ,2.0048
-0.033443 ,0.25385   ,0.30347   ,0.13723   ,0.62411    ,0.10706    ,-1.2206   ,-1.0508   ,-0.40377   ,-2.2226   ,-1.7608    ,-1.7727   ,-0.17585   ,-0.09257  ,0.058815   ,0.0055747  ,-0.19068  ,-0.83245   ,0.74755    ,0.84984   ,0.49006   ,0.85075   ,1.2856     ,1.3335
-0.20422  ,0.045038  ,0.19548   ,-0.037151 ,0.43164    ,-0.00044703,-1.1996   ,-1.03     ,-0.34294   ,-2.3657   ,-1.956     ,-1.9306   ,-0.15051   ,-0.065149 ,0.088021   ,0.070839   ,-0.030593 ,-0.70599   ,0.44349    ,0.40845   ,0.11655   ,0.72746   ,0.98847    ,1.1583
-0.09569  ,0.19715   ,0.30429   ,0.013219  ,0.46089    ,0.02721    ,-1.1257   ,-0.90564  ,-0.25788   ,-1.8196   ,-1.2919    ,-1.4251   ,-0.73025   ,-0.51777  ,-0.06957   ,-0.72496   ,-0.67933  ,-1.0517    ,1.3056     ,1.0852    ,0.49791   ,0.29338   ,0.38151    ,0.32894
